RTO_iter	cost	con
1	1.425000e+01	-1.250000e+00
2	6.945119e+00	-1.673012e+00
3	2.461334e+00	-1.456726e+00
4	5.735958e-01	-7.097556e-01
5	9.251866e-01	8.971582e-09
6	1.657118e-01	-5.562386e-02
7	5.290099e-01	1.286603e-09
8	2.385896e-01	2.279392e-09
9	1.659339e-01	2.803580e-09
10	1.484816e-01	3.057764e-09
11	1.459901e-01	2.619063e-09
12	1.484816e-01	2.577400e-09
13	1.456491e-01	2.522411e-09
14	1.459901e-01	7.364138e-09
15	1.454214e-01	2.658633e-09
16	1.459901e-01	2.773720e-09
17	1.456060e-01	2.737483e-09
18	1.454888e-01	2.719421e-09
19	1.454489e-01	7.355465e-09
20	1.454336e-01	2.705843e-09
21	1.454272e-01	2.703648e-09
22	1.454243e-01	2.702520e-09
23	1.454231e-01	2.702029e-09
24	1.454227e-01	2.701841e-09
25	1.454225e-01	2.701782e-09
26	1.454225e-01	2.701767e-09
27	1.454225e-01	2.701763e-09
28	1.454225e-01	2.701762e-09
29	1.454225e-01	2.701762e-09
30	1.454225e-01	2.701762e-09
