RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02	-7.752530e-01
2	-2.058307e+02	5.406585e-04	1.113360e-01	4.301758e-01	2.567993e-01	1.015528e-01	8.054066e-02	-2.004241e+00
3	-2.042569e+02	4.652324e-03	1.720950e-01	3.678551e-01	2.494550e-01	9.651008e-02	8.465232e-02	-1.577336e+00
4	-2.042569e+02	4.652324e-03	1.720950e-01	3.678551e-01	2.494550e-01	9.651008e-02	8.465232e-02	-1.577336e+00
5	-2.053913e+02	3.955393e-03	1.670072e-01	3.712936e-01	2.511634e-01	9.759659e-02	8.395539e-02	-1.658373e+00
6	-2.091193e+02	1.434048e-03	1.435249e-01	3.961788e-01	2.537791e-01	9.974485e-02	8.143405e-02	-1.947788e+00
7	-2.084264e+02	4.096417e-04	1.281026e-01	4.129528e-01	2.551017e-01	1.007476e-01	8.040964e-02	-2.043300e+00
8	-2.083226e+02	4.775202e-05	1.359356e-01	4.069022e-01	2.531961e-01	9.991544e-02	8.004775e-02	-2.078451e+00
9	-2.083587e+02	3.749248e-04	1.184279e-01	4.247580e-01	2.549957e-01	1.007062e-01	8.037492e-02	-2.046095e+00
10	-2.088268e+02	8.593751e-05	1.275151e-01	4.157685e-01	2.539326e-01	1.002710e-01	8.008594e-02	-2.079675e+00
11	-2.089796e+02	2.191752e-05	1.325045e-01	4.113053e-01	2.530406e-01	9.984630e-02	8.002192e-02	-2.087604e+00
12	-2.091974e+02	6.824421e-05	1.253548e-01	4.190924e-01	2.535021e-01	1.000616e-01	8.006824e-02	-2.085150e+00
13	-2.091503e+02	1.578018e-05	1.290879e-01	4.150882e-01	2.532330e-01	9.994457e-02	8.001578e-02	-2.089925e+00
14	-2.092755e+02	-6.329364e-07	1.303651e-01	4.141354e-01	2.528926e-01	9.977984e-02	7.999937e-02	-2.092755e+00
15	-2.095522e+02	-3.106849e-06	1.312115e-01	4.139740e-01	2.523866e-01	9.952765e-02	7.999689e-02	-2.095522e+00
16	-2.098341e+02	2.125577e-06	1.346375e-01	4.117917e-01	2.512431e-01	9.895420e-02	8.000213e-02	-2.098129e+00
17	-2.064760e+02	1.240384e-03	1.045660e-01	4.407844e-01	2.550643e-01	1.004520e-01	8.124038e-02	-1.940722e+00
18	-2.095066e+02	3.356506e-04	1.185401e-01	4.278241e-01	2.530860e-01	9.976446e-02	8.033565e-02	-2.061501e+00
19	-2.100838e+02	8.816669e-05	1.263604e-01	4.202475e-01	2.520907e-01	9.934929e-02	8.008817e-02	-2.092021e+00
