RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.649827e+00	9.280013e+00	9.192197e+01
2	4.500000e+00	9.442148e+00	9.013222e+01
3	4.500000e+00	9.442148e+00	9.013222e+01
4	4.126304e+00	9.283579e+00	9.040679e+01
5	3.880502e+00	9.256574e+00	9.098705e+01
6	3.761945e+00	9.260325e+00	9.140545e+01
7	3.878350e+00	9.255959e+00	9.095192e+01
8	3.761294e+00	9.255033e+00	9.139045e+01
9	3.821110e+00	9.265666e+00	9.118355e+01
10	3.880042e+00	9.272915e+00	9.098820e+01
11	3.822495e+00	9.279763e+00	9.122244e+01
12	3.852138e+00	9.279989e+00	9.111021e+01
13	3.822719e+00	9.278401e+00	9.121477e+01
14	3.838841e+00	9.285223e+00	9.117405e+01
15	3.853562e+00	9.285774e+00	9.112105e+01
16	3.839682e+00	9.289354e+00	9.118380e+01
17	3.850040e+00	9.291958e+00	9.115463e+01
18	3.864407e+00	9.296780e+00	9.111535e+01
19	3.835230e+00	9.297492e+00	9.122746e+01
20	3.894278e+00	9.303151e+00	9.103033e+01
21	3.864477e+00	9.296939e+00	9.111707e+01
22	3.835264e+00	9.297760e+00	9.122817e+01
23	3.850447e+00	9.300297e+00	9.117789e+01
24	3.865199e+00	9.302418e+00	9.112994e+01
25	3.851003e+00	9.305034e+00	9.119055e+01
26	3.858469e+00	9.304771e+00	9.116339e+01
27	3.871704e+00	9.312735e+00	9.113802e+01
28	3.842414e+00	9.312500e+00	9.124736e+01
29	3.901474e+00	9.317756e+00	9.104949e+01
30	3.871616e+00	9.311508e+00	9.113608e+01
31	3.842321e+00	9.311720e+00	9.124529e+01
32	3.857350e+00	9.314088e+00	9.119520e+01
33	3.872106e+00	9.316198e+00	9.114733e+01
34	3.857730e+00	9.318117e+00	9.120629e+01
35	3.865157e+00	9.317990e+00	9.117977e+01
36	3.850446e+00	9.314915e+00	9.122330e+01
37	3.865025e+00	9.314107e+00	9.116680e+01
38	3.850281e+00	9.313176e+00	9.121853e+01
39	3.857948e+00	9.315463e+00	9.119847e+01
40	3.872668e+00	9.317573e+00	9.114953e+01
