RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
19	3.670432e+00	3.125000e-03	-1.771491e+02	-2.105368e+02	4.789259e-02	1.024816e-04	1.126451e-01	3.870566e-01	2.766910e-01	9.571465e-02	1.278926e-01	-2.095120e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.338618e+01	-4.876659e+01	3.852912e+01	-1.821716e+01	-4.779004e-02	-1.723134e-03	6.087784e-04	-1.750169e-03
20	-5.861835e-01	6.250000e-03	-1.765758e+02	-2.105540e+02	4.804204e-02	1.064963e-04	1.109239e-01	3.884199e-01	2.768632e-01	9.575092e-02	1.280420e-01	-2.094890e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.396226e+01	-4.945961e+01	3.850125e+01	-1.815542e+01	-4.793157e-02	-1.916503e-03	6.832827e-04	-1.745900e-03
21	4.536074e-01	3.125000e-03	-1.775015e+02	-2.105875e+02	4.780321e-02	1.064965e-04	1.142155e-01	3.857965e-01	2.765239e-01	9.566090e-02	1.278032e-01	-2.095225e+00												
22	-9.820810e-01	3.125000e-03	-1.771330e+02	-2.105589e+02	4.790177e-02	1.065010e-04	1.126405e-01	3.870500e-01	2.766944e-01	9.571329e-02	1.279018e-01	-2.094939e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.341480e+01	-4.876933e+01	3.852671e+01	-1.821739e+01	-4.779308e-02	-1.723245e-03	6.087425e-04	-1.750149e-03
23	6.951542e-01	1.562500e-03	-1.765715e+02	-2.105539e+02	4.804318e-02	1.064994e-04	1.109194e-01	3.884237e-01	2.768631e-01	9.575050e-02	1.280432e-01	-2.094889e+00												
24	7.298439e-01	1.562500e-03	-1.768315e+02	-2.105407e+02	4.797578e-02	1.024815e-04	1.117473e-01	3.877739e-01	2.767744e-01	9.572860e-02	1.279758e-01	-2.095159e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.370484e+01	-4.913076e+01	3.851751e+01	-1.819216e+01	-4.787206e-02	-1.824045e-03	6.481005e-04	-1.748110e-03
25	-1.720356e+00	1.562500e-03	-1.770631e+02	-2.105387e+02	4.791626e-02	1.024789e-04	1.125547e-01	3.871335e-01	2.766895e-01	9.570600e-02	1.279163e-01	-2.095140e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.347372e+01	-4.880945e+01	3.852972e+01	-1.822656e+01	-4.781357e-02	-1.734144e-03	6.134485e-04	-1.750155e-03
26	1.124211e+00	7.812500e-04	-1.767562e+02	-2.105409e+02	4.799590e-02	1.024781e-04	1.116656e-01	3.878437e-01	2.767734e-01	9.572140e-02	1.279959e-01	-2.095161e+00												
27	1.008261e+00	1.562500e-03	-1.768865e+02	-2.105506e+02	4.796732e-02	1.083365e-04	1.121020e-01	3.874862e-01	2.767335e-01	9.571097e-02	1.279673e-01	-2.094673e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.366280e+01	-4.899431e+01	3.852206e+01	-1.821530e+01	-4.785858e-02	-1.784622e-03	6.331060e-04	-1.749130e-03
28	3.650483e+00	3.125000e-03	-1.769955e+02	-2.105380e+02	4.793527e-02	1.024817e-04	1.126836e-01	3.870410e-01	2.766568e-01	9.568329e-02	1.279353e-01	-2.095131e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.354170e+01	-4.877004e+01	3.853481e+01	-1.825450e+01	-4.783291e-02	-1.721644e-03	6.092934e-04	-1.750829e-03
29	-6.737664e-01	6.250000e-03	-1.764395e+02	-2.105578e+02	4.808056e-02	1.064963e-04	1.109816e-01	3.883878e-01	2.768291e-01	9.572101e-02	1.280806e-01	-2.094928e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.410242e+01	-4.945429e+01	3.850702e+01	-1.819121e+01	-4.797016e-02	-1.912351e-03	6.827128e-04	-1.746572e-03
30	4.262162e-01	3.125000e-03	-1.773663e+02	-2.105876e+02	4.784042e-02	1.064966e-04	1.142779e-01	3.857605e-01	2.764898e-01	9.563140e-02	1.278404e-01	-2.095226e+00												
31	-8.226940e-01	3.125000e-03	-1.770006e+02	-2.105610e+02	4.793882e-02	1.065011e-04	1.127032e-01	3.870136e-01	2.766605e-01	9.568396e-02	1.279388e-01	-2.094960e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.354926e+01	-4.876150e+01	3.853218e+01	-1.825249e+01	-4.783010e-02	-1.718826e-03	6.080187e-04	-1.750816e-03
32	7.001431e-01	1.562500e-03	-1.764520e+02	-2.105579e+02	4.807732e-02	1.064996e-04	1.109948e-01	3.883763e-01	2.768293e-01	9.572221e-02	1.280773e-01	-2.094929e+00												
33	7.086037e-01	1.562500e-03	-1.767104e+02	-2.105436e+02	4.801000e-02	1.024816e-04	1.118165e-01	3.877314e-01	2.767414e-01	9.570069e-02	1.280100e-01	-2.095188e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.382885e+01	-4.911937e+01	3.852294e+01	-1.822570e+01	-4.790627e-02	-1.818568e-03	6.469266e-04	-1.748767e-03
34	-1.335345e+00	1.562500e-03	-1.769406e+02	-2.105405e+02	4.795051e-02	1.024789e-04	1.126231e-01	3.870918e-01	2.766565e-01	9.567807e-02	1.279505e-01	-2.095158e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.359801e+01	-4.879838e+01	3.853502e+01	-1.826009e+01	-4.784783e-02	-1.728932e-03	6.123625e-04	-1.750807e-03
35	1.129124e+00	7.812500e-04	-1.766445e+02	-2.105437e+02	4.802751e-02	1.024782e-04	1.117416e-01	3.877951e-01	2.767411e-01	9.569471e-02	1.280275e-01	-2.095190e+00												
36	6.936410e-01	1.562500e-03	-1.767708e+02	-2.105529e+02	4.799984e-02	1.083375e-04	1.121719e-01	3.874427e-01	2.767015e-01	9.568412e-02	1.279998e-01	-2.094696e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.378074e+01	-4.898196e+01	3.852725e+01	-1.824760e+01	-4.789109e-02	-1.779046e-03	6.318476e-04	-1.749768e-03
37	6.782808e-01	1.562500e-03	-1.765662e+02	-2.105393e+02	4.804552e-02	1.024817e-04	1.113957e-01	3.880693e-01	2.767809e-01	9.570861e-02	1.280455e-01	-2.095144e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.396873e+01	-4.928954e+01	3.851697e+01	-1.821198e+01	-4.794193e-02	-1.866184e-03	6.653006e-04	-1.747738e-03
38	-3.074567e+00	1.562500e-03	-1.768520e+02	-2.105414e+02	4.797340e-02	1.024792e-04	1.122624e-01	3.873770e-01	2.766967e-01	9.569054e-02	1.279734e-01	-2.095166e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.368717e+01	-4.894037e+01	3.852955e+01	-1.824216e+01	-4.787058e-02	-1.768689e-03	6.276584e-04	-1.749866e-03
39	1.128196e+00	7.812500e-04	-1.765946e+02	-2.105397e+02	4.803808e-02	1.024783e-04	1.114278e-01	3.880418e-01	2.767811e-01	9.571119e-02	1.280381e-01	-2.095150e+00												
40		1.562500e-03	-1.766846e+02	-2.105510e+02	4.802098e-02	1.083403e-04	1.118142e-01	3.877260e-01	2.767417e-01	9.569717e-02	1.280210e-01	-2.094676e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.386502e+01	-4.912252e+01	3.852139e+01	-1.822873e+01	-4.791222e-02	-1.818706e-03	6.469994e-04	-1.748797e-03
