RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.000000e+00	7.854611e+00	9.010789e+01
2	4.500000e+00	8.744792e+00	8.884075e+01
3	3.000000e+00	9.526233e+00	9.783739e+01
4	4.500000e+00	9.217565e+00	9.209418e+01
5	3.000000e+00	9.896730e+00	1.006837e+02
6	4.500000e+00	9.445847e+00	9.322833e+01
7	3.000000e+00	1.000819e+01	1.017022e+02
8	4.500000e+00	9.525749e+00	9.361636e+01
9	3.000000e+00	1.004303e+01	1.020381e+02
10	4.500000e+00	9.551798e+00	9.374238e+01
11	3.000000e+00	1.005392e+01	1.021451e+02
12	4.500000e+00	9.560068e+00	9.378234e+01
13	3.000000e+00	1.005733e+01	1.021788e+02
14	4.500000e+00	9.562670e+00	9.379490e+01
15	3.000000e+00	1.005839e+01	1.021894e+02
16	4.500000e+00	9.563486e+00	9.379884e+01
17	3.000000e+00	1.005873e+01	1.021927e+02
18	4.500000e+00	9.563742e+00	9.380008e+01
19	3.000000e+00	1.005883e+01	1.021938e+02
20	4.500000e+00	9.563822e+00	9.380046e+01
21	3.000000e+00	1.005887e+01	1.021941e+02
22	4.500000e+00	9.563847e+00	9.380059e+01
23	3.000000e+00	1.005888e+01	1.021942e+02
24	4.500000e+00	9.563855e+00	9.380062e+01
25	3.000000e+00	1.005888e+01	1.021942e+02
26	4.500000e+00	9.563858e+00	9.380064e+01
27	3.000000e+00	1.005888e+01	1.021943e+02
28	4.500000e+00	9.563858e+00	9.380064e+01
29	3.000000e+00	1.005888e+01	1.021943e+02
30	4.500000e+00	9.563859e+00	9.380064e+01
31	3.000000e+00	1.005888e+01	1.021943e+02
32	4.500000e+00	9.563859e+00	9.380064e+01
33	3.000000e+00	1.005888e+01	1.021943e+02
34	4.500000e+00	9.563859e+00	9.380064e+01
35	3.000000e+00	1.005888e+01	1.021943e+02
36	4.500000e+00	9.563859e+00	9.380064e+01
37	3.000000e+00	1.005888e+01	1.021943e+02
38	4.500000e+00	9.563859e+00	9.380064e+01
39	3.000000e+00	1.005888e+01	1.021943e+02
40	4.500000e+00	9.563859e+00	9.380064e+01
41	3.000000e+00	1.005888e+01	1.021943e+02
42	4.500000e+00	9.563859e+00	9.380064e+01
43	3.000000e+00	1.005888e+01	1.021943e+02
44	4.500000e+00	9.563859e+00	9.380064e+01
45	3.000000e+00	1.005888e+01	1.021943e+02
46	4.500000e+00	9.563859e+00	9.380064e+01
47	3.000000e+00	1.005888e+01	1.021943e+02
48	4.500000e+00	9.563859e+00	9.380064e+01
49	3.000000e+00	1.005888e+01	1.021943e+02
50	4.500000e+00	9.563859e+00	9.380064e+01
51	3.000000e+00	1.005888e+01	1.021943e+02
52	4.500000e+00	9.563859e+00	9.380064e+01
53	3.000000e+00	1.005888e+01	1.021943e+02
54	4.500000e+00	9.563859e+00	9.380064e+01
55	3.000000e+00	1.005888e+01	1.021943e+02
56	4.500000e+00	9.563859e+00	9.380064e+01
57	3.000000e+00	1.005888e+01	1.021943e+02
58	4.500000e+00	9.563859e+00	9.380064e+01
59	3.000000e+00	1.005888e+01	1.021943e+02
60	4.500000e+00	9.563859e+00	9.380064e+01
61	3.000000e+00	1.005888e+01	1.021943e+02
62	4.500000e+00	9.563859e+00	9.380064e+01
63	3.000000e+00	1.005888e+01	1.021943e+02
64	4.500000e+00	9.563859e+00	9.380064e+01
65	3.000000e+00	1.005888e+01	1.021943e+02
66	4.500000e+00	9.563859e+00	9.380064e+01
67	3.000000e+00	1.005888e+01	1.021943e+02
68	4.500000e+00	9.563859e+00	9.380064e+01
69	3.000000e+00	1.005888e+01	1.021943e+02
70	4.500000e+00	9.563859e+00	9.380064e+01
71	3.000000e+00	1.005888e+01	1.021943e+02
72	4.500000e+00	9.563859e+00	9.380064e+01
73	3.000000e+00	1.005888e+01	1.021943e+02
74	4.500000e+00	9.563859e+00	9.380064e+01
75	3.000000e+00	1.005888e+01	1.021943e+02
76	4.500000e+00	9.563859e+00	9.380064e+01
77	3.000000e+00	1.005888e+01	1.021943e+02
78	4.500000e+00	9.563859e+00	9.380064e+01
79	3.000000e+00	1.005888e+01	1.021943e+02
80	4.500000e+00	9.563859e+00	9.380064e+01
