RTO_iter	cost	con
1	1.750000e+00	-2.500000e-01
2	3.927979e-01	-4.651583e-01
3	1.385202e-01	2.513332e-02
4	1.385202e-01	2.513332e-02
5	1.996125e-01	-1.362806e-01
6	1.449701e-01	1.412979e-03
7	1.449701e-01	1.412980e-03
8	1.449701e-01	1.412986e-03
9	1.619449e-01	-4.145319e-02
10	1.458699e-01	9.443117e-04
11	1.457103e-01	7.699186e-04
12	1.461053e-01	-9.885901e-06
13	1.454466e-01	1.758981e-03
14	1.451930e-01	1.125101e-03
15	1.453156e-01	3.799695e-04
16	1.456259e-01	1.436688e-04
17	1.458432e-01	6.015152e-05
18	1.459673e-01	2.713303e-05
19	1.460331e-01	1.283851e-05
20	1.460667e-01	6.286593e-06
21	1.460833e-01	3.235101e-06
22	1.460908e-01	1.883274e-06
23	1.460937e-01	1.369326e-06
24	1.460946e-01	1.210412e-06
25	1.460948e-01	1.167625e-06
26	1.460949e-01	1.156704e-06
27	1.460949e-01	1.153959e-06
28	1.460949e-01	1.153272e-06
29	1.460949e-01	1.153100e-06
30	1.460949e-01	1.153057e-06
