RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.758913e-01	1.000000e+00	2.500000e+00	2.500000e+00	-1.750000e+00	-1.750000e+00	-7.500000e-01	-1.500000e+00	5.000000e-01	1.500000e+00	2.220446e-14	-3.980000e+00
2	-1.000000e+00	1.000000e+00	7.543741e-01	2.004902e-01	3.408743e-02	-2.368624e+00	-3.615762e-01	-5.194193e-01	6.961161e-01	-4.992458e-01	-5.551115e-15	-5.767730e-02
3	-1.000000e+00	5.000000e-01	2.721427e-01	1.811730e-01	5.060063e-01	-9.706508e-09						
4	1.123678e+00	2.500000e-01	2.721427e-01	1.811730e-01	5.060063e-01	-3.764251e-09						
5	-1.000000e+00	5.000000e-01	3.979742e-01	2.208756e-01	3.533644e-01	-1.511516e-01	-1.983617e-01	-4.280451e-01	4.634130e-01	-4.896450e-01	0.000000e+00	3.078196e-01
6	-1.000000e+00	2.500000e-01	2.888778e-01	1.481750e-01	4.797806e-01	1.427836e-09						
7	-1.000000e+00	1.250000e-01	2.888778e-01	1.481750e-01	4.797806e-01	1.664822e-09						
8	1.053078e+00	6.250000e-02	2.888778e-01	1.481750e-01	4.797806e-01	6.957152e-09						
9	-1.000000e+00	1.250000e-01	3.232686e-01	1.638434e-01	4.340749e-01	-4.366935e-02	-1.613238e-01	-3.893839e-01	4.143053e-01	-4.755281e-01	0.000000e+00	4.624645e-01
10	-1.000000e+00	6.250000e-02	2.886488e-01	1.447764e-01	4.835274e-01	1.965813e-09						
11	1.018143e+00	3.125000e-02	2.888259e-01	1.447861e-01	4.825795e-01	1.962823e-09						
12	-1.000000e+00	6.250000e-02	2.921893e-01	1.463876e-01	4.711447e-01	-8.332837e-11	-1.460840e-01	-3.799054e-01	3.845273e-01	-4.711546e-01	0.000000e+00	5.003786e-01
13	-1.000000e+00	3.125000e-02	2.881169e-01	1.446382e-01	4.837014e-01	2.281777e-09						
14	-1.000000e+00	1.562500e-02	2.888459e-01	1.447192e-01	4.807815e-01	2.326595e-09						
15	-1.000000e+00	7.812500e-03	2.903313e-01	1.451970e-01	4.759894e-01	2.401734e-09						
16	-1.000000e+00	3.906250e-03	2.912114e-01	1.455962e-01	4.735766e-01	2.438710e-09						
17	-1.000000e+00	1.953125e-03	2.916856e-01	1.458357e-01	4.723661e-01	2.456623e-09						
18	-1.000000e+00	9.765625e-04	2.919311e-01	1.459654e-01	4.717601e-01	2.464393e-09						
19	-1.000000e+00	4.882812e-04	2.920557e-01	1.460326e-01	4.714574e-01	2.465919e-09						
20	-1.000000e+00	2.441406e-04	2.921180e-01	1.460666e-01	4.713071e-01	2.462138e-09						
21	-1.000000e+00	1.220703e-04	2.921484e-01	1.460832e-01	4.712342e-01	2.452187e-09						
22	-1.000000e+00	6.103516e-05	2.921622e-01	1.460908e-01	4.712012e-01	2.436810e-09						
23	-1.000000e+00	3.051758e-05	2.921675e-01	1.460937e-01	4.711885e-01	2.423211e-09						
24	-1.000000e+00	1.525879e-05	2.921691e-01	1.460946e-01	4.711846e-01	2.416789e-09						
25		7.629395e-06	2.921696e-01	1.460948e-01	4.711835e-01	2.414778e-09						
