RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3.865262e-01	1.000000e+00	-2.500000e+00	-2.500000e+00	-1.750000e+00	-1.750000e+00	4.250000e+00	5.200000e-01	-5.480000e+00	1.500000e+00	2.220446e-14	-3.980000e+00
2	-1.000000e+00	1.000000e+00	-7.446824e-01	-1.776025e+00	4.142597e-02	-2.366058e+00	1.131781e+00	2.261867e+00	-1.362859e+00	-4.993361e-01	5.551115e-15	-5.288058e-02
3	-1.000000e+00	5.000000e-01	-8.237923e-01	-1.320846e+00	4.805184e-01	2.135300e-09						
4	6.383895e-01	2.500000e-01	-3.478732e-01	-2.895008e-01	4.972419e-01	2.741910e-09						
5	-1.000000e+00	2.500000e-01	-3.936786e-01	8.952436e-02	3.582956e-01	-1.456298e-01	5.908091e-01	1.410841e+00	-1.250168e+00	-4.905975e-01	0.000000e+00	2.942627e-01
6	5.925604e-01	1.250000e-01	-3.133470e-01	4.913378e-02	5.151244e-01	2.540896e-09						
7	-1.000000e+00	1.250000e-01	-2.899628e-01	1.166123e-01	4.886870e-01	2.417477e-09	4.393814e-01	9.180085e-01	-1.349029e+00	-4.887325e-01	0.000000e+00	3.202331e-01
8	-1.000000e+00	6.250000e-02	-2.943813e-01	1.150836e-01	4.616022e-01	3.400334e-09						
9	-1.000000e+00	3.125000e-02	-2.895546e-01	1.368081e-01	4.754524e-01	3.122920e-09						
10	-1.000000e+00	1.562500e-02	-2.890724e-01	1.442368e-01	4.821573e-01	2.889243e-09						
11	1.062126e+00	7.812500e-03	-2.893318e-01	1.471014e-01	4.854580e-01	2.997833e-09						
12	-1.000000e+00	1.562500e-02	-2.895886e-01	1.483222e-01	4.870957e-01	2.962770e-09	4.378426e-01	9.467567e-01	-1.322675e+00	-4.871457e-01	0.000000e+00	3.406785e-01
13	1.075904e+00	7.812500e-03	-2.892720e-01	1.463374e-01	4.836789e-01	2.953361e-09						
14	-1.000000e+00	1.562500e-02	-2.893699e-01	1.473570e-01	4.854124e-01	2.917933e-09	4.366588e-01	9.755625e-01	-1.296394e+00	-4.854623e-01	0.000000e+00	3.610298e-01
15	1.097722e+00	7.812500e-03	-2.893698e-01	1.457737e-01	4.818070e-01	2.906667e-09						
16	-1.000000e+00	1.562500e-02	-2.893093e-01	1.465925e-01	4.836347e-01	2.871186e-09	4.358337e-01	1.004430e+00	-1.270193e+00	-4.836847e-01	0.000000e+00	3.812793e-01
17	1.137087e+00	7.812500e-03	-2.896246e-01	1.454098e-01	4.798436e-01	2.857503e-09						
18	-1.000000e+00	1.562500e-02	-2.894062e-01	1.460283e-01	4.817641e-01	2.821974e-09	4.353664e-01	1.033357e+00	-1.244072e+00	-4.818141e-01	0.000000e+00	4.014282e-01
19	1.229416e+00	7.812500e-03	-2.900359e-01	1.452454e-01	4.777901e-01	2.805869e-09						
20	4.671944e-01	1.562500e-02	-2.896601e-01	1.456639e-01	4.798020e-01	2.770297e-09	4.352560e-01	1.062343e+00	-1.218029e+00	-4.798520e-01	0.000000e+00	4.214776e-01
21	-1.000000e+00	1.562500e-02	-2.906032e-01	1.452802e-01	4.756478e-01	2.479460e-09	4.360516e-01	1.120426e+00	-1.166103e+00	-4.756483e-01	0.000000e+00	4.613768e-01
22	-1.000000e+00	7.812500e-03	-2.893605e-01	1.443979e-01	4.801507e-01	2.486126e-09						
23	-1.000000e+00	3.906250e-03	-2.899366e-01	1.449921e-01	4.779050e-01	2.522991e-09						
24	-1.000000e+00	1.953125e-03	-2.902584e-01	1.452374e-01	4.767782e-01	2.541420e-09						
25		9.765625e-04	-2.904277e-01	1.453470e-01	4.762141e-01	2.550577e-09						
