RTO_iter	cost	con
1	1.750000e+00	-2.500000e-01
2	3.870991e-01	-4.579101e-01
3	1.037521e+00	2.603783e-01
4	2.409986e-01	3.928662e-03
5	1.971305e-01	-1.323019e-01
6	2.001601e-01	1.556152e-02
7	1.494186e-01	-4.554186e-05
8	1.505877e-01	1.266076e-02
9	1.447951e-01	2.610168e-03
10	1.457919e-01	4.325168e-04
11	1.472697e-01	4.613357e-06
12	1.482540e-01	-4.997223e-05
13	1.465057e-01	3.583289e-06
14	1.472889e-01	-4.998166e-05
15	1.459419e-01	2.529676e-06
16	1.465245e-01	-4.998935e-05
17	1.455781e-01	1.498305e-06
18	1.459602e-01	-4.999441e-05
19	1.454137e-01	4.886326e-07
20	1.455959e-01	-4.999693e-05
21	1.454484e-01	-4.947474e-07
22	1.454445e-01	3.856392e-04
23	1.453636e-01	1.456704e-04
24	1.453852e-01	6.097580e-05
25	1.454115e-01	2.753530e-05
26	1.454285e-01	1.307714e-05
27	1.454379e-01	6.446911e-06
28	1.454427e-01	3.362679e-06
29	1.454449e-01	1.997004e-06
30	1.454457e-01	1.478130e-06
