RTO_iter	cost	con
1	1.425000e+01	-1.250000e+00
2	6.945119e+00	-1.673012e+00
3	2.461334e+00	-1.456726e+00
4	5.735958e-01	-7.097556e-01
5	1.241020e+00	1.735213e-01
6	1.657118e-01	-5.562386e-02
7	5.007536e-01	1.404369e-01
8	2.385840e-01	3.354426e-02
9	1.576835e-01	2.178525e-02
10	1.511350e-01	1.764131e-04
11	1.481077e-01	-7.475234e-03
12	1.492390e-01	3.011206e-03
13	1.475469e-01	8.158171e-04
14	1.461739e-01	1.817708e-04
15	1.457180e-01	5.624626e-06
16	1.459776e-01	-1.372190e-03
17	1.457544e-01	1.205170e-04
18	1.456074e-01	4.079103e-05
19	1.455476e-01	9.113801e-06
20	1.455159e-01	-7.371452e-06
21	1.455624e-01	2.770568e-05
22	1.455366e-01	1.310907e-05
23	1.455248e-01	6.426872e-06
24	1.455193e-01	3.316924e-06
25	1.455169e-01	1.939852e-06
26	1.455160e-01	1.416519e-06
27	1.455157e-01	1.254750e-06
28	1.455156e-01	1.211199e-06
29	1.455156e-01	1.200084e-06
30	1.455156e-01	1.197290e-06
