rto_iter	test_point_no	variable_name	noise
0	0	cost	-0.000000e+00
0	0	con	-0.000000e+00
0	1	cost	0.000000e+00
0	1	con	-0.000000e+00
0	2	cost	-0.000000e+00
0	2	con	-0.000000e+00
0	3	cost	0.000000e+00
0	3	con	0.000000e+00
0	4	cost	-0.000000e+00
0	4	con	0.000000e+00
1	0	cost	-0.000000e+00
1	0	con	0.000000e+00
1	1	cost	0.000000e+00
1	1	con	0.000000e+00
1	2	cost	0.000000e+00
1	2	con	-0.000000e+00
1	3	cost	-0.000000e+00
1	3	con	0.000000e+00
1	4	cost	0.000000e+00
1	4	con	-0.000000e+00
2	0	cost	0.000000e+00
2	0	con	0.000000e+00
2	1	cost	0.000000e+00
2	1	con	-0.000000e+00
2	2	cost	0.000000e+00
2	2	con	0.000000e+00
2	3	cost	-0.000000e+00
2	3	con	0.000000e+00
2	4	cost	0.000000e+00
2	4	con	0.000000e+00
3	0	cost	0.000000e+00
3	0	con	-0.000000e+00
3	1	cost	0.000000e+00
3	1	con	0.000000e+00
3	2	cost	-0.000000e+00
3	2	con	0.000000e+00
3	3	cost	0.000000e+00
3	3	con	-0.000000e+00
3	4	cost	-0.000000e+00
3	4	con	0.000000e+00
4	0	cost	0.000000e+00
4	0	con	-0.000000e+00
4	1	cost	0.000000e+00
4	1	con	0.000000e+00
4	2	cost	-0.000000e+00
4	2	con	-0.000000e+00
4	3	cost	-0.000000e+00
4	3	con	0.000000e+00
4	4	cost	-0.000000e+00
4	4	con	-0.000000e+00
5	0	cost	-0.000000e+00
5	0	con	-0.000000e+00
5	1	cost	0.000000e+00
5	1	con	0.000000e+00
5	2	cost	-0.000000e+00
5	2	con	0.000000e+00
5	3	cost	-0.000000e+00
5	3	con	-0.000000e+00
5	4	cost	-0.000000e+00
5	4	con	0.000000e+00
6	0	cost	-0.000000e+00
6	0	con	0.000000e+00
6	1	cost	-0.000000e+00
6	1	con	-0.000000e+00
6	2	cost	-0.000000e+00
6	2	con	-0.000000e+00
6	3	cost	0.000000e+00
6	3	con	-0.000000e+00
6	4	cost	0.000000e+00
6	4	con	-0.000000e+00
7	0	cost	0.000000e+00
7	0	con	-0.000000e+00
7	1	cost	-0.000000e+00
7	1	con	-0.000000e+00
7	2	cost	0.000000e+00
7	2	con	-0.000000e+00
7	3	cost	0.000000e+00
7	3	con	-0.000000e+00
7	4	cost	-0.000000e+00
7	4	con	-0.000000e+00
8	0	cost	0.000000e+00
8	0	con	-0.000000e+00
8	1	cost	-0.000000e+00
8	1	con	0.000000e+00
8	2	cost	-0.000000e+00
8	2	con	-0.000000e+00
8	3	cost	0.000000e+00
8	3	con	-0.000000e+00
8	4	cost	-0.000000e+00
8	4	con	-0.000000e+00
9	0	cost	-0.000000e+00
9	0	con	-0.000000e+00
9	1	cost	0.000000e+00
9	1	con	0.000000e+00
9	2	cost	-0.000000e+00
9	2	con	-0.000000e+00
9	3	cost	0.000000e+00
9	3	con	0.000000e+00
9	4	cost	-0.000000e+00
9	4	con	0.000000e+00
10	0	cost	-0.000000e+00
10	0	con	-0.000000e+00
10	1	cost	0.000000e+00
10	1	con	-0.000000e+00
10	2	cost	-0.000000e+00
10	2	con	-0.000000e+00
10	3	cost	-0.000000e+00
10	3	con	0.000000e+00
10	4	cost	-0.000000e+00
10	4	con	0.000000e+00
11	0	cost	-0.000000e+00
11	0	con	0.000000e+00
11	1	cost	0.000000e+00
11	1	con	-0.000000e+00
11	2	cost	-0.000000e+00
11	2	con	0.000000e+00
11	3	cost	-0.000000e+00
11	3	con	0.000000e+00
11	4	cost	-0.000000e+00
11	4	con	0.000000e+00
12	0	cost	0.000000e+00
12	0	con	0.000000e+00
12	1	cost	0.000000e+00
12	1	con	0.000000e+00
12	2	cost	0.000000e+00
12	2	con	0.000000e+00
12	3	cost	-0.000000e+00
12	3	con	0.000000e+00
12	4	cost	-0.000000e+00
12	4	con	0.000000e+00
13	0	cost	-0.000000e+00
13	0	con	0.000000e+00
13	1	cost	0.000000e+00
13	1	con	0.000000e+00
13	2	cost	-0.000000e+00
13	2	con	0.000000e+00
13	3	cost	0.000000e+00
13	3	con	-0.000000e+00
13	4	cost	0.000000e+00
13	4	con	-0.000000e+00
14	0	cost	-0.000000e+00
14	0	con	-0.000000e+00
14	1	cost	-0.000000e+00
14	1	con	0.000000e+00
14	2	cost	-0.000000e+00
14	2	con	-0.000000e+00
14	3	cost	0.000000e+00
14	3	con	-0.000000e+00
14	4	cost	0.000000e+00
14	4	con	0.000000e+00
15	0	cost	0.000000e+00
15	0	con	0.000000e+00
15	1	cost	-0.000000e+00
15	1	con	-0.000000e+00
15	2	cost	-0.000000e+00
15	2	con	-0.000000e+00
15	3	cost	-0.000000e+00
15	3	con	0.000000e+00
15	4	cost	0.000000e+00
15	4	con	0.000000e+00
16	0	cost	-0.000000e+00
16	0	con	0.000000e+00
16	1	cost	0.000000e+00
16	1	con	-0.000000e+00
16	2	cost	0.000000e+00
16	2	con	-0.000000e+00
16	3	cost	0.000000e+00
16	3	con	-0.000000e+00
16	4	cost	-0.000000e+00
16	4	con	0.000000e+00
17	0	cost	-0.000000e+00
17	0	con	-0.000000e+00
17	1	cost	0.000000e+00
17	1	con	0.000000e+00
17	2	cost	-0.000000e+00
17	2	con	0.000000e+00
17	3	cost	0.000000e+00
17	3	con	0.000000e+00
17	4	cost	-0.000000e+00
17	4	con	0.000000e+00
18	0	cost	0.000000e+00
18	0	con	0.000000e+00
18	1	cost	-0.000000e+00
18	1	con	-0.000000e+00
18	2	cost	-0.000000e+00
18	2	con	0.000000e+00
18	3	cost	-0.000000e+00
18	3	con	-0.000000e+00
18	4	cost	0.000000e+00
18	4	con	0.000000e+00
19	0	cost	-0.000000e+00
19	0	con	0.000000e+00
19	1	cost	0.000000e+00
19	1	con	0.000000e+00
19	2	cost	-0.000000e+00
19	2	con	0.000000e+00
19	3	cost	0.000000e+00
19	3	con	0.000000e+00
19	4	cost	-0.000000e+00
19	4	con	-0.000000e+00
20	0	cost	-0.000000e+00
20	0	con	-0.000000e+00
20	1	cost	0.000000e+00
20	1	con	-0.000000e+00
20	2	cost	0.000000e+00
20	2	con	0.000000e+00
20	3	cost	0.000000e+00
20	3	con	0.000000e+00
20	4	cost	0.000000e+00
20	4	con	-0.000000e+00
21	0	cost	0.000000e+00
21	0	con	-0.000000e+00
21	1	cost	-0.000000e+00
21	1	con	-0.000000e+00
21	2	cost	0.000000e+00
21	2	con	-0.000000e+00
21	3	cost	0.000000e+00
21	3	con	-0.000000e+00
21	4	cost	-0.000000e+00
21	4	con	0.000000e+00
22	0	cost	0.000000e+00
22	0	con	-0.000000e+00
22	1	cost	0.000000e+00
22	1	con	-0.000000e+00
22	2	cost	-0.000000e+00
22	2	con	0.000000e+00
