RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.611912e+00	8.521095e+01
2	4.730392e+00	8.833600e+01
3	4.774388e+00	8.954038e+01
4	4.788092e+00	9.001603e+01
5	4.793508e+00	9.020514e+01
6	4.795612e+00	9.028064e+01
7	4.796450e+00	9.031082e+01
8	4.796784e+00	9.032289e+01
9	4.796917e+00	9.032772e+01
10	4.796971e+00	9.032965e+01
11	4.796992e+00	9.033043e+01
12	4.797001e+00	9.033074e+01
13	4.797004e+00	9.033086e+01
14	4.797006e+00	9.033091e+01
15	4.797006e+00	9.033093e+01
16	4.797006e+00	9.033094e+01
17	4.797006e+00	9.033094e+01
18	4.797006e+00	9.033094e+01
19	4.797006e+00	9.033094e+01
20	4.797006e+00	9.033094e+01
