RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.891066e+00	8.278806e+01
2	4.909566e+00	8.552114e+01
3	4.936581e+00	8.612542e+01
4	4.940196e+00	8.628506e+01
5	4.941416e+00	8.632314e+01
6	4.941677e+00	8.633264e+01
7	4.941745e+00	8.633496e+01
8	4.941762e+00	8.633553e+01
9	4.941766e+00	8.633567e+01
10	4.941767e+00	8.633570e+01
11	4.941767e+00	8.633571e+01
12	4.941767e+00	8.633572e+01
13	4.941767e+00	8.633572e+01
14	4.941767e+00	8.633572e+01
15	4.941767e+00	8.633572e+01
16	4.941767e+00	8.633572e+01
17	4.941767e+00	8.633572e+01
18	4.941767e+00	8.633572e+01
19	4.941767e+00	8.633572e+01
20	4.941767e+00	8.633572e+01
