RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.127363e+00	8.487119e+01
2	4.670463e+00	8.747904e+01
3	4.658938e+00	8.904428e+01
4	4.731772e+00	8.898242e+01
5	4.714697e+00	8.919076e+01
6	4.727003e+00	8.913232e+01
7	4.722115e+00	8.917019e+01
8	4.724687e+00	8.915441e+01
9	4.723513e+00	8.916251e+01
10	4.724088e+00	8.915877e+01
11	4.723816e+00	8.916059e+01
12	4.723947e+00	8.915973e+01
13	4.723884e+00	8.916014e+01
14	4.723914e+00	8.915994e+01
15	4.723900e+00	8.916004e+01
16	4.723907e+00	8.915999e+01
17	4.723904e+00	8.916001e+01
18	4.723905e+00	8.916000e+01
19	4.723904e+00	8.916001e+01
20	4.723905e+00	8.916001e+01
