RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.214611e+00	8.447593e+01
2	4.673248e+00	8.776413e+01
3	4.711362e+00	8.910507e+01
4	4.765064e+00	8.963161e+01
5	4.776034e+00	8.984484e+01
6	4.783092e+00	8.992983e+01
7	4.785235e+00	8.996410e+01
8	4.786269e+00	8.997782e+01
9	4.786640e+00	8.998334e+01
10	4.786800e+00	8.998556e+01
11	4.786862e+00	8.998645e+01
12	4.786887e+00	8.998681e+01
13	4.786897e+00	8.998695e+01
14	4.786901e+00	8.998701e+01
15	4.786903e+00	8.998703e+01
16	4.786904e+00	8.998704e+01
17	4.786904e+00	8.998704e+01
18	4.786904e+00	8.998704e+01
19	4.786904e+00	8.998705e+01
20	4.786904e+00	8.998705e+01
