RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.518901e+00	8.737894e+01
2	4.758207e+00	8.948096e+01
3	4.762741e+00	8.936277e+01
4	4.764164e+00	8.940079e+01
5	4.763960e+00	8.939294e+01
6	4.764010e+00	8.939470e+01
7	4.764000e+00	8.939431e+01
8	4.764002e+00	8.939440e+01
9	4.764001e+00	8.939438e+01
10	4.764002e+00	8.939439e+01
11	4.764002e+00	8.939438e+01
12	4.764002e+00	8.939438e+01
13	4.764002e+00	8.939438e+01
14	4.764002e+00	8.939438e+01
15	4.764002e+00	8.939438e+01
16	4.764002e+00	8.939438e+01
17	4.764002e+00	8.939438e+01
18	4.764002e+00	8.939438e+01
19	4.764002e+00	8.939438e+01
20	4.764002e+00	8.939438e+01
