RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.120755e+00	7.925419e+01
2	4.218703e+00	8.185394e+01
3	4.373185e+00	8.393542e+01
4	4.569969e+00	8.633384e+01
5	4.580786e+00	8.683551e+01
6	4.339032e+00	8.591922e+01
7	4.447628e+00	8.617189e+01
8	4.453938e+00	8.669030e+01
9	4.744814e+00	8.860535e+01
10	4.903590e+00	8.996727e+01
11	4.724888e+00	8.943372e+01
12	4.680623e+00	8.959441e+01
13	4.657860e+00	8.962071e+01
14	4.759288e+00	8.998031e+01
15	4.879405e+00	9.068501e+01
16	5.001939e+00	9.149065e+01
17	4.696733e+00	8.971631e+01
18	4.902707e+00	9.035902e+01
19	5.050716e+00	9.148287e+01
20	5.077308e+00	9.184195e+01
