RTO_iter	cost	con
1	3.000000e+00	-2.000000e+00
2	1.006688e+00	-9.999781e-01
3	8.809034e-02	1.948746e-01
4	4.223638e-01	-5.250355e-01
5	8.788274e-02	1.964295e-01
6	2.238732e-01	-1.956084e-01
7	2.085929e-01	5.033853e-03
8	1.480678e-01	-7.428445e-03
9	1.630960e-01	1.187841e-02
10	1.490096e-01	3.135382e-03
11	1.459429e-01	8.033198e-04
12	1.454092e-01	1.798817e-04
13	1.454087e-01	6.308162e-06
14	1.459499e-01	-1.293999e-03
15	1.453619e-01	1.203796e-04
16	1.454178e-01	4.146004e-05
17	1.454633e-01	1.013605e-05
18	1.454961e-01	-5.540322e-06
19	1.454434e-01	2.743230e-05
20	1.454674e-01	1.300287e-05
21	1.454803e-01	6.385394e-06
22	1.454867e-01	3.306875e-06
23	1.454897e-01	1.948644e-06
24	1.454909e-01	1.425498e-06
25	1.454912e-01	1.265370e-06
26	1.454913e-01	1.222264e-06
27	1.454913e-01	1.211262e-06
28	1.454913e-01	1.208497e-06
29	1.454913e-01	1.207804e-06
30	1.454913e-01	1.207631e-06
