RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	8.032575e+01	4.360922e+00
2	8.358062e+01	4.551992e+00
3	8.566180e+01	4.655659e+00
4	8.702173e+01	4.712728e+00
5	8.792118e+01	4.744585e+00
6	8.852032e+01	4.762645e+00
7	8.892112e+01	4.773061e+00
8	8.918993e+01	4.779182e+00
9	8.937049e+01	4.782848e+00
10	8.949188e+01	4.785087e+00
11	8.957353e+01	4.786477e+00
12	8.962846e+01	4.787355e+00
13	8.966543e+01	4.787917e+00
14	8.969031e+01	4.788281e+00
15	8.970705e+01	4.788519e+00
16	8.971832e+01	4.788675e+00
17	8.972590e+01	4.788779e+00
18	8.973100e+01	4.788847e+00
19	8.973444e+01	4.788893e+00
20	8.973675e+01	4.788924e+00
