RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.629963e+02	1.265050e-01	4.084884e-01	2.613151e-01	1.071981e-01	7.037848e-02
3	-1.704476e+02	1.156275e-01	4.140931e-01	2.649838e-01	1.077203e-01	7.431460e-02
4	-1.750243e+02	1.094065e-01	4.157051e-01	2.677511e-01	1.080484e-01	7.748150e-02
5	-1.778203e+02	1.057048e-01	4.159365e-01	2.696984e-01	1.082518e-01	7.979224e-02
6	-1.795380e+02	1.034516e-01	4.157432e-01	2.710209e-01	1.083784e-01	8.139633e-02
7	-1.806025e+02	1.020608e-01	4.154706e-01	2.719002e-01	1.084577e-01	8.247711e-02
8	-1.812675e+02	1.011947e-01	4.152310e-01	2.724766e-01	1.085078e-01	8.319136e-02
9	-1.816854e+02	1.006522e-01	4.150491e-01	2.728508e-01	1.085396e-01	8.365731e-02
10	-1.819491e+02	1.003110e-01	4.149204e-01	2.730921e-01	1.085599e-01	8.395859e-02
11	-1.821158e+02	1.000960e-01	4.148329e-01	2.732469e-01	1.085727e-01	8.415220e-02
12	-1.822214e+02	9.996018e-02	4.147747e-01	2.733459e-01	1.085809e-01	8.427610e-02
13	-1.822884e+02	9.987433e-02	4.147367e-01	2.734091e-01	1.085862e-01	8.435515e-02
14	-1.823308e+02	9.982001e-02	4.147120e-01	2.734493e-01	1.085895e-01	8.440548e-02
15	-1.823577e+02	9.978562e-02	4.146962e-01	2.734748e-01	1.085916e-01	8.443749e-02
16	-1.823748e+02	9.976384e-02	4.146860e-01	2.734910e-01	1.085929e-01	8.445781e-02
17	-1.823856e+02	9.975005e-02	4.146796e-01	2.735013e-01	1.085938e-01	8.447072e-02
18	-1.823924e+02	9.974131e-02	4.146754e-01	2.735079e-01	1.085943e-01	8.447890e-02
19	-1.823968e+02	9.973577e-02	4.146728e-01	2.735120e-01	1.085946e-01	8.448409e-02
20	-1.823995e+02	9.973226e-02	4.146711e-01	2.735146e-01	1.085949e-01	8.448738e-02
