RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.992077e+01	4.077039e+00
2	8.326710e+01	4.258726e+00
3	8.553809e+01	4.423434e+00
4	8.704531e+01	4.545585e+00
5	8.802107e+01	4.629745e+00
6	8.864135e+01	4.685602e+00
7	8.903135e+01	4.721841e+00
8	8.927510e+01	4.745004e+00
9	8.942699e+01	4.759665e+00
10	8.952150e+01	4.768884e+00
11	8.958027e+01	4.774657e+00
12	8.961681e+01	4.778262e+00
13	8.963951e+01	4.780509e+00
14	8.965363e+01	4.781908e+00
15	8.966240e+01	4.782779e+00
16	8.966785e+01	4.783320e+00
17	8.967123e+01	4.783657e+00
18	8.967334e+01	4.783866e+00
19	8.967465e+01	4.783996e+00
20	8.967546e+01	4.784077e+00
