RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.975464e+01	4.120229e+00
2	8.289241e+01	4.295878e+00
3	8.501771e+01	4.442524e+00
4	8.647198e+01	4.549356e+00
5	8.747230e+01	4.623821e+00
6	8.816251e+01	4.674982e+00
7	8.863971e+01	4.710013e+00
8	8.897005e+01	4.734020e+00
9	8.919894e+01	4.750505e+00
10	8.935762e+01	4.761853e+00
11	8.946767e+01	4.769680e+00
12	8.954402e+01	4.775087e+00
13	8.959700e+01	4.778828e+00
14	8.963376e+01	4.781418e+00
15	8.965928e+01	4.783213e+00
16	8.967699e+01	4.784457e+00
17	8.968928e+01	4.785321e+00
18	8.969781e+01	4.785919e+00
19	8.970373e+01	4.786335e+00
20	8.970784e+01	4.786623e+00
