RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.784613e+02	1.217688e-01	3.819071e-01	2.764813e-01	1.093992e-01	8.652439e-02
3	-1.876806e+02	1.050501e-01	3.823888e-01	2.851547e-01	1.099215e-01	9.796758e-02
4	-1.902387e+02	9.582167e-02	3.847793e-01	2.887094e-01	1.098094e-01	1.036358e-01
5	-1.908238e+02	9.133822e-02	3.867316e-01	2.900213e-01	1.096534e-01	1.060718e-01
6	-1.909467e+02	8.927264e-02	3.879777e-01	2.904625e-01	1.095573e-01	1.070218e-01
7	-1.909726e+02	8.833192e-02	3.887051e-01	2.905928e-01	1.095075e-01	1.073668e-01
8	-1.909784e+02	8.790137e-02	3.891115e-01	2.906209e-01	1.094829e-01	1.074827e-01
9	-1.909797e+02	8.770220e-02	3.893327e-01	2.906199e-01	1.094709e-01	1.075170e-01
10	-1.909801e+02	8.760892e-02	3.894510e-01	2.906131e-01	1.094651e-01	1.075245e-01
11	-1.909802e+02	8.756470e-02	3.895136e-01	2.906072e-01	1.094622e-01	1.075242e-01
12	-1.909803e+02	8.754350e-02	3.895463e-01	2.906032e-01	1.094608e-01	1.075225e-01
13	-1.909803e+02	8.753323e-02	3.895634e-01	2.906008e-01	1.094601e-01	1.075209e-01
14	-1.909803e+02	8.752822e-02	3.895722e-01	2.905994e-01	1.094597e-01	1.075199e-01
15	-1.909803e+02	8.752575e-02	3.895767e-01	2.905986e-01	1.094596e-01	1.075193e-01
16	-1.909803e+02	8.752453e-02	3.895791e-01	2.905982e-01	1.094595e-01	1.075189e-01
17	-1.909803e+02	8.752392e-02	3.895803e-01	2.905980e-01	1.094594e-01	1.075187e-01
18	-1.909803e+02	8.752362e-02	3.895809e-01	2.905979e-01	1.094594e-01	1.075186e-01
19	-1.909803e+02	8.752346e-02	3.895812e-01	2.905978e-01	1.094594e-01	1.075185e-01
20	-1.909803e+02	8.752339e-02	3.895813e-01	2.905978e-01	1.094594e-01	1.075185e-01
