Tr	Fb	Ka1_est	Ka2_est	Kb1_est	Kb2_est
7.750000e+01	5.625000e+00	3.283499e+08	2.155001e+13	8.423786e+03	1.247371e+04	1.161395e-03
7.750000e+01	6.000000e+00	3.283498e+08	2.155004e+13	8.432067e+03	1.247937e+04	9.883683e-04
8.125000e+01	3.000000e+00	3.283500e+08	2.155000e+13	8.275203e+03	1.230061e+04	1.652823e-03
8.125000e+01	3.375000e+00	3.283500e+08	2.155000e+13	8.320043e+03	1.235604e+04	1.598674e-03
8.125000e+01	3.750000e+00	3.283500e+08	2.155000e+13	8.352787e+03	1.239826e+04	1.499349e-03
8.125000e+01	4.125000e+00	3.283500e+08	2.155000e+13	8.376963e+03	1.242971e+04	1.378506e-03
8.125000e+01	4.500000e+00	3.283500e+08	2.155000e+13	8.395335e+03	1.245298e+04	1.257535e-03
8.125000e+01	4.875000e+00	3.283500e+08	2.155000e+13	8.409808e+03	1.247020e+04	1.146759e-03
8.125000e+01	5.250000e+00	3.283500e+08	2.155000e+13	8.421627e+03	1.248301e+04	1.049012e-03
8.125000e+01	5.625000e+00	3.283500e+08	2.155000e+13	8.431596e+03	1.249259e+04	9.636706e-04
8.125000e+01	6.000000e+00	3.283499e+08	2.155001e+13	8.439870e+03	1.249901e+04	8.093946e-04
8.500000e+01	3.000000e+00	3.283500e+08	2.155000e+13	8.261220e+03	1.229812e+04	1.653177e-03
8.500000e+01	3.375000e+00	3.283500e+08	2.155000e+13	8.314772e+03	1.236021e+04	1.570802e-03
8.500000e+01	3.750000e+00	3.283500e+08	2.155000e+13	8.354108e+03	1.240840e+04	1.443373e-03
8.500000e+01	4.125000e+00	3.283500e+08	2.155000e+13	8.382796e+03	1.244467e+04	1.290688e-03
8.500000e+01	4.500000e+00	3.283500e+08	2.155000e+13	8.404004e+03	1.247152e+04	1.140488e-03
8.500000e+01	4.875000e+00	3.283500e+08	2.155000e+13	8.420115e+03	1.249126e+04	1.008096e-03
8.500000e+01	5.250000e+00	3.283500e+08	2.155000e+13	8.432782e+03	1.250579e+04	8.975723e-04
8.500000e+01	5.625000e+00	3.283500e+08	2.155000e+13	8.443100e+03	1.251654e+04	8.072190e-04
8.500000e+01	6.000000e+00	3.283500e+08	2.155000e+13	8.451182e+03	1.252337e+04	6.606664e-04
8.875000e+01	3.000000e+00	3.283500e+08	2.155000e+13	8.244363e+03	1.229485e+04	1.751862e-03
8.875000e+01	3.375000e+00	3.283500e+08	2.155000e+13	8.307423e+03	1.236379e+04	1.649923e-03
8.875000e+01	3.750000e+00	3.283500e+08	2.155000e+13	8.354576e+03	1.241856e+04	1.504389e-03
8.875000e+01	4.125000e+00	3.283500e+08	2.155000e+13	8.389128e+03	1.246056e+04	1.320690e-03
8.875000e+01	4.500000e+00	3.283500e+08	2.155000e+13	8.414343e+03	1.249196e+04	1.132183e-03
8.875000e+01	4.875000e+00	3.283500e+08	2.155000e+13	8.432965e+03	1.251507e+04	9.634322e-04
8.875000e+01	5.250000e+00	3.283500e+08	2.155000e+13	8.447066e+03	1.253197e+04	8.238328e-04
8.875000e+01	5.625000e+00	3.283500e+08	2.155000e+13	8.458098e+03	1.254434e+04	7.130379e-04
8.875000e+01	6.000000e+00	3.283500e+08	2.155000e+13	8.466337e+03	1.255225e+04	5.656575e-04
9.250000e+01	3.000000e+00	3.283500e+08	2.155000e+13	8.224563e+03	1.229063e+04	1.898362e-03
9.250000e+01	3.375000e+00	3.283500e+08	2.155000e+13	8.297460e+03	1.236634e+04	1.786534e-03
9.250000e+01	3.750000e+00	3.283500e+08	2.155000e+13	8.353183e+03	1.242783e+04	1.643044e-03
9.250000e+01	4.125000e+00	3.283500e+08	2.155000e+13	8.394782e+03	1.247621e+04	1.444725e-03
9.250000e+01	4.500000e+00	3.283500e+08	2.155000e+13	8.425285e+03	1.251308e+04	1.223508e-03
9.250000e+01	4.875000e+00	3.283500e+08	2.155000e+13	8.447522e+03	1.254047e+04	1.014319e-03
9.250000e+01	5.250000e+00	3.283500e+08	2.155000e+13	8.463890e+03	1.256052e+04	8.359514e-04
9.250000e+01	5.625000e+00	3.283500e+08	2.155000e+13	8.476207e+03	1.257511e+04	6.929232e-04
9.250000e+01	6.000000e+00	3.283500e+08	2.155000e+13	8.484910e+03	1.258440e+04	5.350950e-04
9.625000e+01	3.000000e+00	3.283500e+08	2.155000e+13	8.201991e+03	1.228540e+04	2.045097e-03
9.625000e+01	3.375000e+00	3.283500e+08	2.155000e+13	8.284860e+03	1.236782e+04	1.932505e-03
9.625000e+01	3.750000e+00	3.283500e+08	2.155000e+13	8.349351e+03	1.243584e+04	1.811626e-03
9.625000e+01	4.125000e+00	3.283500e+08	2.155000e+13	8.398739e+03	1.249077e+04	1.623848e-03
9.625000e+01	4.500000e+00	3.283500e+08	2.155000e+13	8.435691e+03	1.253379e+04	1.388529e-03
9.625000e+01	4.875000e+00	3.283500e+08	2.155000e+13	8.462770e+03	1.256639e+04	1.146975e-03
9.625000e+01	5.250000e+00	3.283500e+08	2.155000e+13	8.482451e+03	1.259048e+04	9.292309e-04
9.625000e+01	5.625000e+00	3.283500e+08	2.155000e+13	8.496849e+03	1.260802e+04	7.481994e-04
9.625000e+01	6.000000e+00	3.283500e+08	2.155000e+13	8.506532e+03	1.261918e+04	5.722690e-04
1.000000e+02	3.000000e+00	3.283500e+08	2.155000e+13	8.185180e+03	1.228606e+04	2.299589e-03
1.000000e+02	3.375000e+00	3.283500e+08	2.155000e+13	8.277681e+03	1.237544e+04	2.049092e-03
1.000000e+02	3.750000e+00	3.283500e+08	2.155000e+13	8.349326e+03	1.244877e+04	1.836023e-03
1.000000e+02	4.125000e+00	3.283500e+08	2.155000e+13	8.403753e+03	1.250742e+04	1.587912e-03
1.000000e+02	4.500000e+00	3.283500e+08	2.155000e+13	8.444155e+03	1.255289e+04	1.316267e-03
1.000000e+02	4.875000e+00	3.283500e+08	2.155000e+13	8.473491e+03	1.258702e+04	1.055403e-03
1.000000e+02	5.250000e+00	3.283500e+08	2.155000e+13	8.494557e+03	1.261198e+04	8.297152e-04
1.000000e+02	5.625000e+00	3.283500e+08	2.155000e+13	8.509723e+03	1.262994e+04	6.478859e-04
1.000000e+02	6.000000e+00	2.189001e+08	4.310000e+13	8.391409e+03	1.293097e+04	8.295145e-04
