Ka1_True	Ka2_True	Kb1_True	Kb2_True	Ka1_est	Ka2_est	Kb1_est	Kb2_est
1.970100e+08	4.310000e+13	8.885360e+03	1.119420e+04	2.112998e+08	3.567701e+13	8.910310e+03	1.110819e+04
1.970100e+08	4.310000e+13	8.885360e+03	1.243800e+04	2.651166e+08	-1.376697e+13	9.007920e+03	1.826546e+04
1.970100e+08	4.310000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.922742e+03	1.366832e+04
1.970100e+08	4.741000e+13	7.269840e+03	1.119420e+04	2.818888e+08	4.269664e+13	7.395956e+03	1.115595e+04
1.970100e+08	4.741000e+13	7.269840e+03	1.243800e+04	2.521446e+08	3.266827e+13	7.356792e+03	1.230469e+04
1.970100e+08	4.741000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.306942e+03	1.361468e+04
1.970100e+08	4.741000e+13	8.077600e+03	1.119420e+04	2.312878e+08	4.297524e+13	8.134255e+03	1.115614e+04
1.970100e+08	4.741000e+13	8.077600e+03	1.243800e+04	2.344389e+08	3.483232e+13	8.139038e+03	1.232807e+04
1.970100e+08	4.741000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.114838e+03	1.363597e+04
1.970100e+08	4.741000e+13	8.885360e+03	1.119420e+04	2.109907e+08	3.787399e+13	8.909794e+03	1.109378e+04
1.970100e+08	4.741000e+13	8.885360e+03	1.243800e+04	2.535627e+08	1.996448e+13	8.974675e+03	1.213043e+04
1.970100e+08	4.741000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.922742e+03	1.363573e+04
2.189000e+08	3.879000e+13	7.269840e+03	1.119420e+04	3.149336e+08	3.677624e+13	7.397878e+03	1.117417e+04
2.189000e+08	3.879000e+13	7.269840e+03	1.243800e+04	1.801709e+08	-1.362210e+17	7.303275e+03	1.850219e+06
2.189000e+08	3.879000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.269734e+03	1.367658e+04
2.189000e+08	3.879000e+13	8.077600e+03	1.119420e+04	2.526979e+08	4.199767e+13	8.128303e+03	1.121957e+04
2.189000e+08	3.879000e+13	8.077600e+03	1.243800e+04	2.601405e+08	2.804582e+13	8.138562e+03	1.232234e+04
2.189000e+08	3.879000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.077632e+03	1.370419e+04
2.189000e+08	3.879000e+13	8.885360e+03	1.119420e+04	2.359733e+08	3.217070e+13	8.912090e+03	1.111222e+04
2.189000e+08	3.879000e+13	8.885360e+03	1.243800e+04	2.783418e+08	1.764375e+13	8.970378e+03	1.215779e+04
2.189000e+08	3.879000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.885519e+03	1.370479e+04
2.189000e+08	4.310000e+13	7.269840e+03	1.119420e+04	3.165617e+08	4.049582e+13	7.399689e+03	1.117095e+04
2.189000e+08	4.310000e+13	7.269840e+03	1.243800e+04	2.819715e+08	2.808818e+13	7.359053e+03	1.228480e+04
2.189000e+08	4.310000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.269734e+03	1.364330e+04
2.189000e+08	4.310000e+13	8.077600e+03	1.119420e+04	2.558425e+08	4.270157e+13	8.132670e+03	1.118801e+04
2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.603918e+08	3.156375e+13	8.138903e+03	1.232690e+04
2.189000e+08	4.310000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.077631e+03	1.366835e+04
2.189000e+08	4.310000e+13	8.885360e+03	1.119420e+04	2.352752e+08	3.365666e+13	8.911044e+03	1.108929e+04
2.189000e+08	4.310000e+13	8.885360e+03	1.243800e+04	2.786910e+08	1.943713e+13	8.970822e+03	1.215477e+04
2.189000e+08	4.310000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.885519e+03	1.366883e+04
2.189000e+08	4.741000e+13	7.269840e+03	1.119420e+04	3.180304e+08	4.411798e+13	7.401314e+03	1.116751e+04
2.189000e+08	4.741000e+13	7.269840e+03	1.243800e+04	2.822878e+08	3.213794e+13	7.359447e+03	1.229882e+04
2.189000e+08	4.741000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.269733e+03	1.361289e+04
2.189000e+08	4.741000e+13	8.077600e+03	1.119420e+04	2.604091e+08	4.292997e+13	8.138917e+03	1.115601e+04
2.189000e+08	4.741000e+13	8.077600e+03	1.243800e+04	2.606300e+08	3.506430e+13	8.139225e+03	1.233041e+04
2.189000e+08	4.741000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.077631e+03	1.363581e+04
2.189000e+08	4.741000e+13	8.885360e+03	1.119420e+04	2.349529e+08	3.649067e+13	8.910560e+03	1.108250e+04
2.189000e+08	4.741000e+13	8.885360e+03	1.243800e+04	2.790095e+08	2.113855e+13	8.971226e+03	1.215073e+04
2.189000e+08	4.741000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.885519e+03	1.363619e+04
2.407900e+08	3.879000e+13	7.269840e+03	1.119420e+04	5.845757e+07	1.560456e+13	6.769579e+03	1.087150e+04
2.407900e+08	3.879000e+13	7.269840e+03	1.243800e+04	-5.883496e+07	-7.173449e+13	3.898615e+04	1.765564e+04
2.407900e+08	3.879000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.236074e+03	1.367447e+04
2.407900e+08	3.879000e+13	8.077600e+03	1.119420e+04	3.013383e+08	-4.417011e+13	8.444727e+03	2.199117e+04
2.407900e+08	3.879000e+13	8.077600e+03	1.243800e+04	1.659903e+08	-6.440757e+12	8.034866e+03	1.826036e+04
2.407900e+08	3.879000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.043974e+03	1.370399e+04
2.407900e+08	3.879000e+13	8.885360e+03	1.119420e+04	2.602162e+08	2.882151e+13	8.912955e+03	1.107466e+04
2.407900e+08	3.879000e+13	8.885360e+03	1.243800e+04	3.037507e+08	1.844111e+13	8.967558e+03	1.217349e+04
2.407900e+08	3.879000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.851849e+03	1.370525e+04
2.407900e+08	4.310000e+13	7.269840e+03	1.119420e+04	3.532443e+08	4.162308e+13	7.404716e+03	1.118064e+04
2.407900e+08	4.310000e+13	7.269840e+03	1.243800e+04	2.026481e+08	-1.512281e+14	7.319794e+03	2.075189e+04
2.407900e+08	4.310000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.236073e+03	1.364138e+04
2.407900e+08	4.310000e+13	8.077600e+03	1.119420e+04	2.734200e+08	4.254905e+13	8.122469e+03	1.118693e+04
2.407900e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.866363e+08	3.170753e+13	8.139150e+03	1.232850e+04
2.407900e+08	4.310000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.043974e+03	1.366817e+04
2.407900e+08	4.310000e+13	8.885360e+03	1.119420e+04	2.594835e+08	3.348772e+13	8.911959e+03	1.108890e+04
2.407900e+08	4.310000e+13	8.885360e+03	1.243800e+04	3.041275e+08	2.034569e+13	8.967997e+03	1.217100e+04
2.407900e+08	4.310000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.851849e+03	1.366925e+04
2.407900e+08	4.741000e+13	7.269840e+03	1.119420e+04	3.550432e+08	4.542489e+13	7.406500e+03	1.117781e+04
2.407900e+08	4.741000e+13	7.269840e+03	1.243800e+04	3.128057e+08	3.161454e+13	7.362025e+03	1.229293e+04
2.407900e+08	4.741000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.236072e+03	1.361113e+04
2.407900e+08	4.741000e+13	8.077600e+03	1.119420e+04	2.792558e+08	4.287590e+13	8.129926e+03	1.115577e+04
2.407900e+08	4.741000e+13	8.077600e+03	1.243800e+04	2.868973e+08	3.524756e+13	8.139471e+03	1.233226e+04
2.407900e+08	4.741000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.043973e+03	1.363566e+04
2.407900e+08	4.741000e+13	8.885360e+03	1.119420e+04	2.588413e+08	3.437295e+13	8.911084e+03	1.106293e+04
2.407900e+08	4.741000e+13	8.885360e+03	1.243800e+04	3.044717e+08	2.216122e+13	8.968397e+03	1.216752e+04
2.407900e+08	4.741000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.851849e+03	1.363658e+04
