Ka1_True	Ka2_True	Kb1_True	Kb2_True	Ka1_est	Ka2_est	Kb1_est	Kb2_est
1.970100e+08	3.879000e+13	7.269840e+03	1.119420e+04	2.794095e+08	3.573581e+13	7.392854e+03	1.116404e+04
1.970100e+08	3.879000e+13	7.269840e+03	1.243800e+04	2.191046e+08	4.307311e+13	7.307236e+03	1.247309e+04
1.970100e+08	3.879000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.306944e+03	1.367873e+04
1.970100e+08	3.879000e+13	8.077600e+03	1.119420e+04	2.290935e+08	4.234460e+13	8.130890e+03	1.122227e+04
1.970100e+08	3.879000e+13	8.077600e+03	1.243800e+04	2.339956e+08	2.790304e+13	8.138370e+03	1.232053e+04
1.970100e+08	3.879000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.114839e+03	1.370438e+04
1.970100e+08	3.879000e+13	8.885360e+03	1.119420e+04	2.120522e+08	3.441809e+13	8.911566e+03	1.113454e+04
1.970100e+08	3.879000e+13	8.885360e+03	1.243800e+04	2.529488e+08	1.672472e+13	8.973817e+03	1.213878e+04
1.970100e+08	3.879000e+13	8.885360e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.922742e+03	1.370423e+04
1.970100e+08	4.310000e+13	7.269840e+03	1.119420e+04	2.807153e+08	3.926941e+13	7.394492e+03	1.116009e+04
1.970100e+08	4.310000e+13	7.269840e+03	1.243800e+04	2.518691e+08	2.862524e+13	7.356408e+03	1.229159e+04
1.970100e+08	4.310000e+13	7.269840e+03	1.368180e+04	2.189000e+08	4.310000e+13	7.306943e+03	1.364526e+04
1.970100e+08	4.310000e+13	8.077600e+03	1.119420e+04	2.298518e+08	4.282028e+13	8.132056e+03	1.118877e+04
1.970100e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.342234e+08	3.137766e+13	8.138714e+03	1.232481e+04
1.970100e+08	4.310000e+13	8.077600e+03	1.368180e+04	2.189000e+08	4.310000e+13	8.114839e+03	1.366852e+04
