RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.380015e+00	8.037863e+01
2	4.575766e+00	8.364062e+01
3	4.677541e+00	8.573798e+01
4	4.735822e+00	8.767404e+01
5	4.759062e+00	8.816509e+01
6	4.772671e+00	8.839243e+01
7	4.780910e+00	8.842412e+01
8	4.785422e+00	8.900102e+01
9	4.787933e+00	8.974388e+01
10	4.789899e+00	9.016728e+01
11	4.789452e+00	9.006873e+01
12	4.787432e+00	9.036666e+01
13	4.786189e+00	9.050335e+01
14	4.789072e+00	9.046650e+01
15	4.788378e+00	9.056898e+01
16	4.788354e+00	9.067126e+01
17	4.792123e+00	9.003104e+01
18	4.790905e+00	8.992639e+01
19	4.789887e+00	9.029594e+01
20	4.788483e+00	9.029758e+01
