RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.380015e+00	8.037863e+01
2	4.574554e+00	8.363553e+01
3	4.675978e+00	8.573032e+01
4	4.735000e+00	8.766831e+01
5	4.757925e+00	8.815803e+01
6	4.768740e+00	8.837312e+01
7	4.777933e+00	8.840620e+01
8	4.782208e+00	8.898095e+01
9	4.787772e+00	8.973557e+01
10	4.791332e+00	9.016820e+01
11	4.789056e+00	9.006494e+01
12	4.786601e+00	9.036124e+01
13	4.785022e+00	9.049618e+01
14	4.788911e+00	9.046313e+01
15	4.789457e+00	9.057168e+01
16	4.790683e+00	9.068125e+01
17	4.791142e+00	9.002891e+01
18	4.792184e+00	8.993230e+01
19	4.792563e+00	9.030918e+01
20	4.791399e+00	9.031422e+01
