RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.227727e+00	8.080876e+01
2	4.384813e+00	8.418079e+01
3	4.548252e+00	8.651476e+01
4	4.816168e+00	9.033236e+01
5	4.718237e+00	8.869197e+01
6	4.450729e+00	8.628475e+01
7	4.491652e+00	8.620922e+01
8	4.489752e+00	8.681093e+01
9	4.883974e+00	9.106791e+01
10	5.015877e+00	9.212316e+01
11	4.773006e+00	8.947867e+01
12	4.717259e+00	8.942004e+01
13	4.664204e+00	8.906989e+01
14	4.737543e+00	8.946221e+01
15	4.868665e+00	9.066720e+01
16	5.006914e+00	9.187062e+01
17	4.680492e+00	8.823821e+01
18	4.898133e+00	8.994301e+01
19	5.105339e+00	9.250474e+01
20	5.079381e+00	9.188538e+01
