RTO_iter	cost	con
1	9.750000e+00	-1.250000e+00
2	5.885286e+00	-7.587066e-01
3	3.354530e+00	-5.358400e-01
4	1.806240e+00	-3.799196e-01
5	5.533328e-01	6.551764e-09
6	7.548121e-01	-7.008987e-01
7	2.382340e-01	-2.251952e-01
8	3.565713e-01	7.918322e-09
9	2.076402e-01	6.141608e-09
10	1.505438e-01	-7.690988e-08
11	2.076402e-01	8.806382e-09
12	1.531451e-01	5.270035e-09
13	1.454660e-01	4.162400e-09
14	1.505438e-01	6.581242e-09
15	1.464231e-01	1.891360e-09
16	1.455476e-01	2.437082e-09
17	1.454074e-01	2.695379e-09
18	1.457239e-01	3.314777e-09
19	1.454661e-01	3.096581e-09
20	1.454118e-01	2.984999e-09
21	1.454034e-01	7.434316e-09
22	1.454119e-01	2.941293e-09
23	1.454061e-01	2.912647e-09
24	1.454044e-01	2.898349e-09
25	1.454062e-01	2.901817e-09
26	1.454052e-01	2.894868e-09
27	1.454063e-01	2.896702e-09
28	1.454058e-01	2.893559e-09
29	1.454065e-01	2.894655e-09
30	1.454073e-01	2.895749e-09
