RTO_iter	cost	con
1	1.750000e+00	-2.500000e-01
2	3.870991e-01	-4.579101e-01
3	1.566126e+00	1.226204e-08
4	2.447209e-01	3.718734e-09
5	2.506697e-01	2.394239e-09
6	1.454561e-01	2.707996e-09
7	2.447209e-01	3.853464e-09
8	1.688350e-01	3.232883e-09
9	1.506864e-01	2.995851e-09
10	1.464694e-01	7.381722e-09
11	1.455639e-01	2.708370e-09
12	1.454105e-01	2.671274e-09
13	1.455639e-01	2.728707e-09
14	1.454623e-01	2.710589e-09
15	1.454302e-01	2.701951e-09
16	1.454188e-01	2.696965e-09
17	1.454143e-01	2.694734e-09
18	1.454124e-01	2.693631e-09
19	1.454116e-01	2.693139e-09
20	1.454113e-01	2.692951e-09
21	1.454122e-01	2.693803e-09
22	1.454131e-01	7.349765e-09
23	1.454141e-01	7.350076e-09
24	1.454151e-01	7.350385e-09
25	1.454150e-01	2.696307e-09
26	1.454159e-01	2.697057e-09
27	1.454169e-01	2.697816e-09
28	1.454179e-01	2.698573e-09
29	1.454178e-01	2.698557e-09
30	1.454188e-01	2.699290e-09
