RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.660232e+01	4.383889e+00
2	7.740348e+01	4.575834e+00
3	7.780406e+01	4.671806e+00
4	7.800435e+01	4.719792e+00
5	7.810450e+01	4.743785e+00
6	7.815457e+01	4.755782e+00
7	7.817961e+01	4.761780e+00
8	7.819213e+01	4.764779e+00
9	7.819839e+01	4.766279e+00
10	7.820152e+01	4.767029e+00
11	7.820308e+01	4.767404e+00
12	7.820386e+01	4.767591e+00
13	7.820425e+01	4.767685e+00
14	7.820445e+01	4.767732e+00
15	7.820455e+01	4.767755e+00
16	7.820460e+01	4.767767e+00
17	7.820462e+01	4.767773e+00
18	7.820463e+01	4.767776e+00
19	7.820464e+01	4.767777e+00
20	7.820464e+01	4.767778e+00
