RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.194398e+00	7.947108e+01
2	4.312064e+00	8.236237e+01
3	4.414685e+00	8.449703e+01
4	4.517441e+00	8.615391e+01
5	4.603361e+00	8.742275e+01
6	4.669087e+00	8.838873e+01
7	4.717811e+00	8.912012e+01
8	4.753511e+00	8.967076e+01
9	4.779560e+00	9.008300e+01
10	4.798544e+00	9.039005e+01
11	4.812380e+00	9.061772e+01
12	4.822465e+00	9.078593e+01
13	4.829821e+00	9.090985e+01
14	4.835187e+00	9.100094e+01
15	4.839103e+00	9.106778e+01
16	4.841961e+00	9.111678e+01
17	4.844047e+00	9.115265e+01
18	4.845571e+00	9.117890e+01
19	4.846683e+00	9.119811e+01
20	4.847495e+00	9.121214e+01
