RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.273335e+00	8.133636e+01
2	4.488380e+00	8.532962e+01
3	4.614898e+00	8.740892e+01
4	4.679613e+00	8.835630e+01
5	4.711512e+00	8.876669e+01
6	4.727270e+00	8.894334e+01
7	4.735160e+00	8.902040e+01
8	4.739169e+00	8.905479e+01
9	4.741233e+00	8.907055e+01
10	4.742308e+00	8.907797e+01
11	4.742871e+00	8.908156e+01
12	4.743169e+00	8.908334e+01
13	4.743327e+00	8.908423e+01
14	4.743411e+00	8.908469e+01
15	4.743456e+00	8.908493e+01
16	4.743480e+00	8.908505e+01
17	4.743492e+00	8.908512e+01
18	4.743499e+00	8.908515e+01
19	4.743503e+00	8.908517e+01
20	4.743505e+00	8.908518e+01
