RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.297458e+00	8.162412e+01
2	4.450671e+00	8.493171e+01
3	4.591081e+00	8.701195e+01
4	4.682136e+00	8.832035e+01
5	4.735493e+00	8.913763e+01
6	4.767396e+00	8.964654e+01
7	4.786669e+00	8.996188e+01
8	4.798380e+00	9.015643e+01
9	4.805517e+00	9.027605e+01
10	4.809871e+00	9.034943e+01
11	4.812530e+00	9.039439e+01
12	4.814154e+00	9.042190e+01
13	4.815146e+00	9.043872e+01
14	4.815753e+00	9.044900e+01
15	4.816123e+00	9.045529e+01
16	4.816349e+00	9.045913e+01
17	4.816487e+00	9.046148e+01
18	4.816572e+00	9.046292e+01
19	4.816623e+00	9.046379e+01
20	4.816655e+00	9.046433e+01
