RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.257098e+00	8.287983e+01
2	4.537727e+00	8.646927e+01
3	4.664484e+00	8.819799e+01
4	4.723580e+00	8.904746e+01
5	4.752034e+00	8.946874e+01
6	4.765987e+00	8.967857e+01
7	4.772896e+00	8.978328e+01
8	4.776333e+00	8.983560e+01
9	4.778048e+00	8.986175e+01
10	4.778904e+00	8.987482e+01
11	4.779332e+00	8.988136e+01
12	4.779546e+00	8.988463e+01
13	4.779653e+00	8.988626e+01
14	4.779707e+00	8.988708e+01
15	4.779734e+00	8.988749e+01
16	4.779747e+00	8.988769e+01
17	4.779754e+00	8.988779e+01
18	4.779757e+00	8.988785e+01
19	4.779759e+00	8.988787e+01
20	4.779760e+00	8.988788e+01
