RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.236859e+00	7.976902e+01
2	4.316136e+00	8.239613e+01
3	4.393825e+00	8.418974e+01
4	4.516592e+00	8.622709e+01
5	4.563333e+00	8.678696e+01
6	4.446980e+00	8.643238e+01
7	4.452194e+00	8.632270e+01
8	4.455264e+00	8.678432e+01
9	4.613584e+00	8.810646e+01
10	4.771156e+00	8.930760e+01
11	4.744450e+00	8.933856e+01
12	4.708679e+00	8.961867e+01
13	4.678368e+00	8.967677e+01
14	4.721766e+00	8.981951e+01
15	4.805580e+00	9.033140e+01
16	4.910891e+00	9.100463e+01
17	4.790644e+00	9.000591e+01
18	4.850330e+00	9.016936e+01
19	4.955841e+00	9.105795e+01
20	5.018709e+00	9.148537e+01
