RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.150259e+00	8.001506e+01
2	4.283696e+00	8.291615e+01
3	4.451230e+00	8.509078e+01
4	4.652893e+00	8.771417e+01
5	4.629186e+00	8.768921e+01
6	4.327593e+00	8.599805e+01
7	4.458037e+00	8.623368e+01
8	4.451317e+00	8.669457e+01
9	4.767246e+00	8.905723e+01
10	4.919696e+00	9.046713e+01
11	4.707913e+00	8.939952e+01
12	4.672781e+00	8.948868e+01
13	4.642017e+00	8.936766e+01
14	4.743668e+00	8.971992e+01
15	4.863151e+00	9.050656e+01
16	4.986159e+00	9.139123e+01
17	4.628031e+00	8.891876e+01
18	4.876499e+00	8.989180e+01
19	5.025545e+00	9.128052e+01
20	5.049861e+00	9.159178e+01
