RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.628486e+00	8.088496e+01
2	4.927785e+00	8.465205e+01
3	5.061005e+00	8.688677e+01
4	5.106274e+00	8.803064e+01
5	5.118526e+00	8.859743e+01
6	5.125983e+00	8.895015e+01
7	5.111704e+00	8.892789e+01
8	5.113541e+00	8.901248e+01
9	5.125895e+00	8.920647e+01
10	5.145532e+00	8.949115e+01
11	5.142057e+00	8.951284e+01
12	5.143555e+00	8.956741e+01
13	5.158715e+00	8.977452e+01
14	5.158337e+00	8.980867e+01
15	5.161344e+00	8.986370e+01
16	5.156093e+00	8.981978e+01
17	5.147549e+00	8.972065e+01
18	5.135326e+00	8.954382e+01
19	5.141540e+00	8.958632e+01
20	5.146108e+00	8.963075e+01
