RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.236898e+00	7.969141e+01
2	4.370683e+00	8.252629e+01
3	4.463808e+00	8.445344e+01
4	4.627137e+00	8.675377e+01
5	4.632961e+00	8.722875e+01
6	4.565504e+00	8.714375e+01
7	4.604375e+00	8.724836e+01
8	4.578561e+00	8.766087e+01
9	4.793147e+00	8.934741e+01
10	4.895884e+00	9.039520e+01
11	4.734959e+00	8.982555e+01
12	4.727229e+00	9.004806e+01
13	4.714831e+00	9.009935e+01
14	4.775181e+00	9.026165e+01
15	4.862818e+00	9.076946e+01
16	4.935299e+00	9.129329e+01
17	4.744028e+00	9.003697e+01
18	4.881590e+00	9.036316e+01
19	4.953490e+00	9.114502e+01
20	4.973234e+00	9.131637e+01
